"Annual greenhouse gas (GHG) emissions for Austria, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Austria — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total GHG emissions with LULUCF including indirect CO₂","66682.33155603429","66682.33155603429","65659.73382304581","64088.33991590312","63975.673840812415","64377.02127970454","66441.31518120698","72316.27452058854","63330.41758382952","64495.156551129185","60589.27175163138","63996.652918243","65059.393272334484","71849.06423774286","86919.71327843811","82194.99288396847","81907.64172661063","84948.55988151924","81976.58467634542","82554.7534654431","75796.83336691256","78889.92416797107","76369.77298807022","74344.85385105318","75835.8579380934","71956.21053671394","74346.57065400062","75217.6940815666","77355.84058956365"
"Total GHG emissions without LULUCF","78670.34372086312","78670.34372086312","82349.3135573646","75750.43342829452","75932.2967895208","76206.72004498076","79584.0344806711","82874.66509287222","82405.07979471736","81702.15544993356","80105.17886129093","80414.9804413009","84324.34089998956","86110.74229886282","91788.39314546289","91382.8373368727","92566.55644507612","90117.31120666765","87472.73532249662","86816.18103742822","80328.50223862761","84753.25704291493","82460.29967220235","79811.32492444462","80352.53172865663","76679.76315646962","78897.25289771364","79596.11177065739","82261.4680517736"
"Total GHG emissions with LULUCF","66681.89887637954","66681.89887637954","65659.29408011667","64087.89285497346","63975.219442516216","64376.572714171394","66440.87546196004","72315.84365418111","63329.99557681493","64494.74333204448","60588.86101923522","63996.24466093072","65058.98746250556","71848.65987909421","86919.31017249808","82194.59257394116","81907.24330765854","84948.16091015755","81976.1850774021","82554.35006197827","75796.42803483322","78889.51858288865","76369.36832692055","74344.44782718766","75835.4538199281","71955.80640088518","74346.1613043706","75217.28027605491","77355.42259127034"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:13:18 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
