"Annual greenhouse gas (GHG) emissions for Canada, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Canada — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total GHG emissions with LULUCF including indirect CO₂","534748.2133603994","534748.2133603994","519275.79778476915","544699.3738580009","553331.0026693284","572754.1300021787","602955.9455997447","615726.9177353863","628880.7047575897","629292.8412455402","652791.9707111733","689648.2737054758","662593.7977060637","681233.8997625104","691930.6458533038","717102.6837025457","709956.6176969917","692562.5857296819","712651.5858839685","686630.2507343972","632898.3006771923","660845.4322263361","671171.8940784029","676138.3560031031","690181.5556894278","691853.986349385","697460.209923556","682880.0592401319","692572.3471275363"
"Total GHG emissions without LULUCF","602184.4411501528","602184.4411501528","593402.3553865328","610440.8642887212","612264.4157756586","633675.4519033522","651011.0180059149","672053.0993193265","686988.0222622966","694531.3939774605","707376.01525363","730587.6018049159","719733.4284423905","724348.553329597","741002.7876822839","742971.6441287758","730349.4755675184","721444.5282171988","743766.909534822","723225.1033934407","681699.2952650292","692618.8533878829","703378.9491872498","711023.2331379366","722062.8080648148","723090.9863300318","721992.0835573364","707727.1656174788","715749.2324115399"
"Total GHG emissions with LULUCF","533943.1628923994","533943.1628923994","518596.53638676915","543730.4344880008","552237.4435693283","571739.2588831787","601824.0414937447","614645.1117523862","627937.0851845897","628349.4333215401","651816.6024711733","688681.7535844758","661777.8791600637","680425.5151625104","691103.3619023038","716267.7496985457","709082.6118329917","691810.435084682","711910.8636149685","685960.1330913971","632333.0059311923","660211.3622653361","670561.327335403","675506.6609021031","689517.7587714278","691261.915870385","696853.642736556","682315.9142321319","692026.5426055363"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:13:50 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
