"Annual greenhouse gas (GHG) emissions for Czechia, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Czechia — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","199242.02812986865","199242.02812986865","180813.23819480813","174226.566098689","166528.4743233669","158971.61103473514","158129.08218143097","161150.0109265736","156515.3243491065","150311.1121929793","140672.38085055826","150494.62601160002","150215.35961104312","146571.01433558844","149809.5737074032","150633.07681486168","148549.4009779365","149698.8103003034","151389.4880805347","146644.9332398173","138175.33233046872","140702.09934567177","138701.2646021817","134603.54661831303","129496.53811897915","127560.13113312288","128564.92928138944","130508.90085401441","129383.52479182622"
"Total GHG emissions with LULUCF including indirect CO₂","194016.12156148444","194016.12156148444","172389.5481006805","164959.48515062322","157663.333904719","152444.1938360023","151133.4302352041","153975.2091188961","149999.14894207646","143709.68403895665","133634.26314011254","142607.16296461193","141987.33339841012","138711.0737736414","143463.1639905654","144112.1194429168","141512.53232420664","144871.75093864146","148825.83645441206","140811.55013747502","131268.68191651563","135163.23172280833","131849.77245331078","127913.09589074872","123521.28153152327","121640.14922926833","123482.61017460076","125350.86951219047","127248.5881316852"
"Total GHG emissions without LULUCF","197392.70411981863","197392.70411981863","179181.8627132146","172686.94168810645","165018.18181067175","157517.66967935718","156717.54306615546","159770.06510015123","155160.04948147264","148998.2356153982","139448.47756118674","149333.5198711551","149096.97291368147","145505.518453234","148758.8535234249","149624.67149210436","147494.14425428078","148598.7580023249","150336.7647730546","145614.2930002345","137214.51935273007","139733.69055095396","137753.1437755872","133697.7147376066","128691.0986563561","126758.46210497845","127777.82607091429","129756.68433986409","128675.0467587326"
"Total GHG emissions with LULUCF","192166.7975514344","192166.7975514344","170758.17261908695","163419.86074004063","156153.04139202385","150990.25248062433","149721.8911199286","152595.26329247374","148643.87407444263","142396.80746137557","132410.35985074102","141446.056824167","140868.94670104847","137645.57789128696","142412.44380658708","143103.71412015948","140457.27560055093","143771.69864066294","147773.11314693198","139780.90989789224","130307.86893877698","134194.82292809052","130901.6516267163","127007.26401004232","122715.84206890021","120838.4802011239","122695.50696412561","124598.65299804015","126540.11009859158"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:14:03 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
