"Annual greenhouse gas (GHG) emissions for Denmark, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Denmark — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","71644.75163506478","71644.75163506478","82323.06280922983","76311.55637463846","78497.40001660537","82349.37451916093","79393.8450303687","92551.91536834539","83036.73832755418","79018.67154539781","76550.84482637422","72191.62025981938","73863.62896889857","73341.82278599637","78372.90249588492","72201.3731623596","67750.97288863116","75477.6743867613","70870.5187028286","67207.18097413465","64364.25921793137","64648.162932767795","59351.535571582215","54703.219709093144","56363.55377338985","52182.77872281297","49552.001518311125","51583.092331319065","49506.479692139015"
"Total GHG emissions with LULUCF including indirect CO₂","76582.99874235371","76582.99874235371","86786.4206166584","81711.08766841599","82662.07110338887","85956.22923501157","83012.39485500814","95584.81171405915","86491.63503779452","82459.10290276384","80281.52761789775","75792.31537684213","78090.7420488631","78538.5679145438","83216.21865614898","76776.03592829348","72201.51302966377","80257.75140559353","73125.40949592293","64852.70414114619","66319.41000451693","63631.92145790695","56732.02138225182","53968.60218957575","56757.940186242864","52248.998753510044","53185.392537595086","56086.53471777027","52478.26428053473"
"Total GHG emissions without LULUCF","70515.43640077217","70515.43640077217","81145.7426479035","75165.47091119006","77370.3509281203","81266.92794593926","78332.12233858947","91499.91109554785","82058.45868544576","78076.83334054872","75672.13330364368","71367.58859696817","73066.24666341486","72590.38317103621","77644.96755381447","71510.99287256901","67090.86753392915","74858.97349969576","70293.31424955252","66656.53129512147","63875.91443759804","64178.389803369806","58946.94016923002","54334.56551567103","56021.3660115959","51870.798801499055","49253.853387732124","51297.73721537716","49225.6414834494"
"Total GHG emissions with LULUCF","75453.68350806109","75453.68350806109","85609.1004553321","80565.00220496759","81535.02201490379","84873.7826617899","81950.67216322891","94532.80744126163","85513.3553956861","81517.26469791475","79402.81609516722","74968.28371399092","77293.35974337939","77787.12829958365","82488.28371407854","76085.6556385029","71541.40767496174","79639.05051852799","72548.20504264685","64302.05446213302","65831.0652241836","63162.14832850896","56327.42597989963","53599.947996153634","56415.75242444891","51937.018832196125","52887.244407016085","55801.179601828364","52197.426071845104"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:14:08 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
