"Annual greenhouse gas (GHG) emissions for European Union (Convention), in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: European Union (Convention) — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","5653747.344071908","5653747.344071908","5559044.302643089","5383630.5319702765","5285246.559516932","5258906.269678887","5312058.709190238","5422091.042814453","5329628.766604045","5284745.679321913","5175668.109737819","5171784.058317156","5225853.5380551275","5185522.615638579","5268143.698452837","5267827.783620599","5230902.573330802","5216987.678541083","5164813.906177622","5049289.407252068","4684035.754572304","4785807.131510809","4628444.042006876","4565052.229150595","4470758.496255463","4299411.142930103","4329086.599900136","4305107.488748825","4324868.022476757"
"Total GHG emissions with LULUCF including indirect CO₂","5408771.535841689","5408771.535841689","5290352.205422016","5144992.997191003","5048494.663680125","5012552.179471213","5041824.705536727","5115844.12967787","5029881.445108257","4974353.647016399","4856091.7357940255","4874782.367946379","4897680.730051572","4880511.548083493","4984230.043267796","4950510.912872573","4922866.860626676","4900055.770371866","4878913.276316088","4727487.178481055","4362436.848479638","4470867.678848691","4325488.250667665","4263806.347037698","4163982.04417264","4005585.544850866","4029977.698813343","4019269.747821506","4066794.0387779945"
"Total GHG emissions without LULUCF","5649529.341938004","5649529.341938004","5555045.945326827","5379830.543134049","5281540.389778292","5255297.266273819","5308543.996636852","5418671.891712965","5326316.823679582","5281519.481663715","5172643.922027655","5168911.902681186","5223118.40954241","5182922.837018854","5265582.685087151","5265368.648414119","5228428.619092261","5214524.885933004","5162425.247697254","5046999.428579216","4681900.460156435","4783627.785087112","4626382.214025969","4563064.706863368","4468920.462460923","4297635.767676339","4327313.203157558","4303391.86932903","4323163.151297242"
"Total GHG emissions with LULUCF","5404553.10102813","5404553.10102813","5286353.4083628245","5141192.561293845","5044788.039543188","5008942.727500612","5038309.553264094","5112424.547709975","5026569.08017678","4971127.036139116","4853067.137351465","4871909.804053097","4894945.195729026","4877911.365105119","4981668.62679617","4948051.377356065","4920392.507969184","4897592.578792426","4876524.218236776","4725196.796404738","4360301.148731689","4468687.926839911","4323426.018025608","4261818.418726606","4162143.606259934","4003809.7654612726","4028203.892721135","4017553.7145961984","4065088.7496001865"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:14:15 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
