"Annual greenhouse gas (GHG) emissions for European Union (KP), in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: European Union (KP) — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","5660132.519134382","5660132.519134382","5565230.159459801","5389796.478696471","5291495.723201129","5265103.217457893","5318446.584636179","5428657.425557325","5336505.80060827","5291989.8367769625","5182997.958081725","5179062.240304009","5232806.385437806","5192603.491729601","5275072.899977046","5274902.761035335","5238013.106693335","5224805.439487773","5173123.388743937","5057822.046487302","4692125.732386911","4793743.563457224","4636140.596823725","4572803.129138833","4478545.906377218","4307244.858164776","4336919.231715121","4312736.195363659","4332683.176818454"
"Total GHG emissions with LULUCF including indirect CO₂","5424549.273407035","5424549.273407035","5305924.990138583","5160531.054047027","5064118.854327319","5028093.088420303","5057550.540765908","5131746.904020254","5046095.220413168","4990937.518413551","4872771.689960893","4891426.321009235","4914013.489248524","4896996.046902534","5000556.973725904","4966990.969606077","4939390.279816034","4917351.688292098","4896732.890929413","4745551.475657859","4380032.464563787","4488280.073028308","4342632.341633947","4280997.750877333","4181191.6558197625","4022815.30754769","4047195.670914177","4036247.3789219125","4083930.0639187903"
"Total GHG emissions without LULUCF","5655914.517000478","5655914.517000478","5561231.802143539","5385996.489860243","5287789.553462489","5261494.214052824","5314931.872082792","5425238.274455837","5333193.857683807","5288763.639118765","5179973.770371561","5176190.084668038","5230071.256925088","5190003.713109876","5272511.88661136","5272443.625828856","5235539.152454794","5222342.646879694","5170734.730263569","5055532.067814449","4689990.4379710425","4791564.217033527","4634078.768842818","4570815.606851607","4476707.872582678","4305469.482911012","4335145.834972544","4311020.575943863","4330978.305638939"
"Total GHG emissions with LULUCF","5420330.8385934755","5420330.8385934755","5301926.1930793915","5156730.618149869","5060412.230190382","5024483.636449701","5054035.388493274","5128327.322052358","5042782.85548169","4987710.907536269","4869747.091518332","4888553.757115953","4911277.954925977","4894395.86392416","4997995.557254278","4964531.43408957","4936915.927158542","4914888.496712658","4894343.832850101","4743261.093581541","4377896.764815838","4486100.321019529","4340570.10899189","4279009.822566241","4179353.2179070567","4021039.5281580966","4045421.864821969","4034531.345696605","4082224.774740983"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:14:19 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
