"Annual greenhouse gas (GHG) emissions for Finland, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Finland — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","71299.7872351389","71299.7872351389","69061.30293385047","67618.31505871861","69871.13479781682","75489.21415324834","71923.04714723125","77796.38967389094","76375.04137193806","72682.08328416508","72092.58989290852","70238.7718272731","75598.15573762728","78045.64303783333","85630.23071266396","81940.65921763403","69902.03855314449","81264.86515640217","79602.17069188239","71479.1390288091","67872.84951615844","75695.11140761837","67868.06287544621","62475.66800274079","62952.30441321533","58787.292006985","55176.29192390812","58097.908123284345","55387.24614019089"
"Total GHG emissions with LULUCF including indirect CO₂","56528.19284147221","56528.19284147221","41874.876082850446","46535.57822038525","48648.72162015013","60942.32136124833","57875.16197156457","56439.808827224246","59092.53683027138","57145.158746831745","54264.945697575175","51353.746940939745","54833.63592162726","56204.17712183331","63306.061510997286","58452.04329396735","45474.525043144466","50716.72223873548","57036.872579215706","50193.73120914242","34123.62787582507","53545.65072995169","45606.066923112856","37694.53710374077","43948.07429154864","37022.48474931832","35109.66930557477","39571.94030361766","35009.525151524205"
"Total GHG emissions without LULUCF","71133.00948312289","71133.00948312289","68905.03071426548","67468.04857238261","69727.63303464082","75345.91282995335","71788.15851434025","77674.76412515093","76255.50412674506","72566.20484945609","71981.47406019452","70129.82155663609","75490.29970293528","77946.67078602033","85531.91150671396","81841.15255487904","69812.89707652049","81174.18470505216","79513.28576007439","71399.3090040211","67804.04180444744","75626.96674213937","67805.3011157322","62415.206904058796","62893.82804841733","58733.066688802006","55122.85205171712","58044.30895528835","55334.13384514989"
"Total GHG emissions with LULUCF","56361.41508945621","56361.41508945621","41718.603863265445","46385.31173404925","48505.21985697413","60799.020037953334","57740.27333867357","56318.18327848425","58972.99958507838","57029.28031212274","54153.829864861174","51244.79667030275","54725.77988693526","56105.20487002031","63207.742305047286","58352.53663121235","45385.38356652047","50626.041787385475","56947.98764740771","50113.901184354414","34054.82016411407","53477.506064472684","45543.30516339886","37634.07600505877","43889.59792675064","36968.25943113532","35056.22943338376","39518.34113562166","34956.412856483206"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:14:23 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
