"Annual greenhouse gas (GHG) emissions for Japan, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Japan — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","1275477.3590616784","1275477.3590616784","1289119.1095322096","1301589.0137254344","1293873.4602802428","1358186.3591772723","1379178.5775036644","1391813.7577549724","1383983.1805891925","1335046.1279773498","1358631.9437206062","1379066.9440494366","1353183.0658752709","1376722.32334461","1382553.970440922","1375051.8143288444","1382144.4970213086","1360516.4291751063","1396415.6145811973","1324089.5575156852","1251070.9609025705","1305137.182606672","1356111.129021672","1398842.6086302365","1410297.943499553","1362236.8834302938","1323617.682306249","1307853.9170513742","1291748.4304727293"
"Total GHG emissions with LULUCF including indirect CO₂","1213002.1111470142","1213002.1111470142","1218601.4622619068","1227987.1576326103","1217257.0719822277","1281867.0849086938","1301908.9265614103","1309917.9057694252","1299685.8785761471","1249317.8036283772","1272579.5299680603","1291159.5150113134","1264744.3058828877","1286823.9995589557","1282446.9022842448","1278520.4260579052","1290804.963190642","1274602.5012152693","1315436.1749711162","1253385.1843002588","1184079.345746314","1234590.5562972154","1286244.877154951","1325971.3019062674","1344137.8160813504","1297707.0843463265","1264043.9099858622","1253333.5889122055","1234290.6176406927"
"Total GHG emissions without LULUCF","1270003.6218428765","1270003.6218428765","1283840.3449913329","1296545.9726370089","1289062.300647137","1353408.3584556228","1374496.1380697938","1387110.9362340816","1379442.880590684","1330890.5878102938","1354486.3788173373","1374846.5879618104","1349407.010307899","1373197.999649928","1379176.1428275574","1371761.5428862122","1378956.8480141473","1357394.990779287","1393442.0856737376","1321398.2260426746","1248598.6950303647","1302731.5467515131","1353795.0325223687","1396605.0993154217","1408057.2506614658","1360070.649320652","1321466.534349424","1305751.3276188846","1289630.5821904244"
"Total GHG emissions with LULUCF","1207528.3739282123","1207528.3739282123","1213322.69772103","1222944.116544185","1212445.9123491219","1277089.084187044","1297226.4871275397","1305215.0842485342","1295145.5785776386","1245162.2634613211","1268433.9650647917","1286939.1589236872","1260968.2503155158","1283299.675864274","1279069.0746708803","1275230.1546152728","1287617.3141834803","1271481.06281945","1312462.6460636565","1250693.8528272482","1181607.079874108","1232184.9204420568","1283928.7806556476","1323733.7925914528","1341897.1232432632","1295540.8502366845","1261892.7620290373","1251230.999479716","1232172.7693583877"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 21:14:45 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
