"Annual greenhouse gas (GHG) emissions for Latvia, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Latvia — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","26299.760878367444","26299.760878367444","24403.88209844442","19652.279060190893","16233.390207212171","14302.419051838888","12925.449279919974","12965.289546497126","12411.507739737317","11911.008449823908","11128.997557715493","10512.458413413802","11086.271953772488","11068.30496777437","11241.390310011044","11226.071546887524","11409.149834343028","11900.091451225102","12357.37008034091","11891.527843279093","11192.831850172899","12295.26502539981","11500.133341029863","11339.98351143419","11275.175233586198","11194.04337426687","11272.947285437755","11286.487204767001","11325.325041186155"
"Total GHG emissions with LULUCF including indirect CO₂","16470.84471337667","16470.84471337667","14162.113737179548","9047.91572306526","5668.6607416724355","830.3282035517211","550.1224964759631","323.49993185960267","1464.1475931762739","1855.1614433060204","4670.485601480759","1761.0511835630107","1540.4798125756454","3282.656490418136","3853.068088368759","7510.265559765851","8224.185193518642","8047.375280237991","8157.05865313357","7226.0067328648665","9191.370749545118","12372.890863265897","11507.17743218649","9276.972501488026","9957.493791103901","14233.069827795118","12969.782280979289","10980.018752195163","9618.476516661662"
"Total GHG emissions without LULUCF","26259.45998855605","26259.45998855605","24365.540875543058","19616.51492693575","16199.650818713539","14269.256157186117","12893.287196224706","12934.445959043554","12382.55908350125","11883.586628658235","11102.353649692302","10487.759951327898","11062.159028815116","11043.442247367755","11221.617995760671","11206.78784827995","11387.930195783481","11883.785938587904","12339.415424760673","11873.991982888463","11176.15635587239","12279.233758160588","11489.395711861791","11327.463107452744","11259.720427539094","11173.493507021123","11255.924412425737","11268.723135166229","11306.19604229477"
"Total GHG emissions with LULUCF","16430.543823565276","16430.543823565276","14123.772514278184","9012.151589810113","5634.921353173804","797.1653088989503","517.9604127806958","292.65634440603185","1435.1989369402072","1827.739622140346","4643.841693457569","1736.3527214771066","1516.3668876182742","3257.7937700115226","3833.295774118387","7490.981861158277","8202.965554959095","8031.069767600794","8139.103997553334","7208.470872474236","9174.69525524461","12356.859596026674","11496.439803018418","9264.45209750658","9942.038985056799","14212.519960549369","12952.75940796727","10962.25468259439","9599.347517770275"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 22:08:53 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
