"Annual greenhouse gas (GHG) emissions for Netherlands, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Netherlands — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","221710.81728250958","221710.81728250958","229326.88133731482","229973.88370987304","230699.00527739816","231530.34548587425","231663.52921913622","242702.80340863366","234473.34534488304","235037.7263523406","221657.52922992106","219835.74976493727","220488.34213553305","218341.51942894503","219012.1715437179","220390.46998757892","214746.6931448751","209660.36273363887","208138.05593190945","207518.39672877002","201842.37195841194","213821.22892954186","199692.03322318647","195799.9738863356","195403.30204625532","187711.23568406643","196012.1335514805","195835.04439797215","193712.96771511476"
"Total GHG emissions with LULUCF including indirect CO₂","228202.28961130785","228202.28961130785","235910.59051352387","236523.35217568892","237312.95482273432","238155.21517555867","238091.8873024433","249075.1709175839","240752.11277763027","241306.79670421252","227855.69682831055","225907.5728415449","226561.29214073028","224366.8937317183","225073.03373721245","226184.4026857615","220407.35236635857","215260.79739783527","213712.4212404529","212946.17409808037","207458.93406649126","219390.28045830387","205283.63957519675","201347.07204859794","201143.5525789581","193341.75691452017","201657.62771942746","201414.1802959221","199313.04161177852"
"Total GHG emissions without LULUCF","220793.6257354834","220793.6257354834","228440.89274833136","229170.71726026974","229929.2065236607","230815.63706221347","231011.58857423248","242076.9480567135","233882.29966193734","234437.62369454047","221104.55827216824","219304.19051177864","220007.27908359727","217878.89963057832","218563.74472245996","219970.33992168045","214308.46131568833","209233.95176172006","207700.18187292942","207095.0026003455","201412.67321391686","213363.02558443494","199235.3636810441","195346.94278381608","194953.9492358931","187281.8811229503","195560.41390453366","195384.3163708365","193259.92188261455"
"Total GHG emissions with LULUCF","227285.09806428166","227285.09806428166","235024.60192454042","235720.18572608562","236543.15606899685","237440.5067518979","237439.94665753955","248449.31556566374","240161.06709468458","240706.6940464124","227302.72587055777","225376.01358838627","226080.22908879453","223904.27393335162","224624.60691595447","225764.27261986304","219969.12053717178","214834.38642591645","213274.54718147288","212522.77996965588","207029.23532199618","218932.07711319692","204826.97003305441","200894.04094607846","200694.19976859586","192912.40235340403","201205.9080724806","200963.45226878644","198859.99577927828"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 22:09:19 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
