"Annual greenhouse gas (GHG) emissions for Portugal, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Portugal — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","59206.69028397435","59206.69028397435","60904.9053496728","65211.4291204045","63791.357353112595","64717.398409341484","69149.83439721506","66861.28741482616","70182.11457602381","74910.31687883635","82988.59243551179","82303.7686250955","81896.0790055678","85797.2212425272","80482.03228197951","83570.11303809518","85820.35040194828","81065.6528389445","78788.84572806602","76345.25472931324","73203.44329002865","68999.46856939395","67595.79592217477","65743.11193398986","63877.84979931539","63866.5260530768","67901.37070303393","66091.68416825843","70736.56440226476"
"Total GHG emissions with LULUCF including indirect CO₂","60361.70656139254","60361.70656139254","61996.148684136424","61979.79759193039","59460.628367883124","59625.67028265334","64495.480517107804","58788.19990511465","61203.671160087935","67749.98074290826","74539.29586399838","76625.37514047304","73276.37692474097","77662.60736907281","83097.97321043741","76394.18337596225","87340.19571836376","72818.23371015747","66655.24650832597","62717.309459082455","59708.91461113705","58089.041781614476","56548.972698451296","57172.46508096301","55949.50553897114","54207.72009311852","59436.034977189374","60697.56843654289","77967.00012386969"
"Total GHG emissions without LULUCF","59091.597583266375","59091.597583266375","60795.84570780028","65086.34722740249","63669.569121064895","64535.95557448109","68927.37501237338","66652.41090067162","69943.25774567791","74682.23691674323","82757.7502359393","82081.95877830304","81689.75150728003","85600.83289070298","80266.19238380094","83348.68387142371","85610.35118613583","80855.0103518158","78574.82865482217","76157.3259886601","73032.48858273812","68800.68334763804","67416.85310123855","65556.08832607477","63710.72721039923","63708.92949531562","67735.4076936604","65935.727643287","70546.29659096617"
"Total GHG emissions with LULUCF","60246.61386068457","60246.61386068457","61887.0890422639","61854.71569892838","59338.840135835424","59444.227447792946","64273.02113226612","58579.323390960104","60964.81432974203","67521.90078081514","74308.45366442589","76403.5652936806","73070.0494264532","77466.21901724859","82882.13331225884","76172.75420929078","87130.1965025513","72607.59122302876","66441.2294350821","62529.38071842932","59537.959903846524","57890.25655985857","56370.02987751507","56985.441473047904","55782.38295005499","54050.12353535734","59270.07196781584","60541.61191157145","77776.73231257108"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 22:09:31 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
