"Annual greenhouse gas (GHG) emissions for Russian Federation, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Russian Federation — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total GHG emissions with LULUCF including indirect CO₂","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total GHG emissions without LULUCF","3186796.000894586","3186796.000894586","3024288.328604737","2537053.8668146855","2399328.571068035","2137001.033512744","2084833.2233218474","2029804.9692437376","1912592.155851116","1879190.4451937273","1904985.7891569606","1900819.655789962","1941993.686689691","1923732.0880897592","1958581.7422766434","1973483.8779717172","1993962.7374665726","2056688.1541210464","2058076.2775176135","2097172.6479933695","1960223.768285542","2057672.7673442503","2120496.6674900055","2146305.4984956896","2090717.0326996895","2089475.0817602517","2093652.941579734","2097476.835845431","2155470.6688049375"
"Total GHG emissions with LULUCF","3113394.021515165","3113394.021515165","2972733.6339155207","2464024.049844416","2317233.801217638","1967985.0947893895","1834118.2468295994","1712685.2848149145","1519193.1081811362","1401605.3236822118","1412979.134449292","1388351.4353756602","1372624.804301445","1329166.577050207","1347402.6705228533","1404964.3814031053","1430042.188044221","1498152.443982608","1482812.7936121186","1452559.9013563553","1268591.671785135","1330617.6727928873","1441644.5073819717","1478638.6719571173","1434326.45789222","1466044.48049198","1492639.2040273466","1480903.279121183","1577767.015589719"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 22:09:37 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
