"Annual greenhouse gas (GHG) emissions for Switzerland, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Switzerland — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","53654.174253555044","53654.174253555044","55492.89290576182","55227.315707306545","52639.796548378334","51611.17974004493","52454.27700940056","53044.518645101394","51834.935854754374","53457.31300617938","53165.6882191493","52530.80764619602","54061.97081666541","52416.61227246361","53537.5684766556","54151.91883950391","54832.72442112683","54452.72560694447","52556.87193660883","54027.88216270573","52675.05297277351","54226.584076239626","50136.63977839943","51562.62551239071","52334.253280340614","48465.261454489","47914.34987468221","48278.00197975709","47254.55274990401"
"Total GHG emissions with LULUCF including indirect CO₂","51169.74216440768","51169.74216440768","49203.40417634609","50205.201505293735","48271.417777905895","48420.88245570538","48619.27441455971","46582.6496659764","47604.26338429505","50410.04217110086","49651.78210495339","58100.040297941756","53019.46714229098","49632.838311567306","49811.6052379605","50817.605436269725","52341.878791490184","52849.91307302637","52072.95796521918","51707.16090148543","49553.27499673148","51607.52012451924","48716.396718603464","49696.23928360853","50265.45375435286","47806.112167261796","45728.48110520372","46162.68169667052","45656.973646915496"
"Total GHG emissions without LULUCF","53251.59521155353","53251.59521155353","55116.56508003951","54879.3584225553","52324.57406665292","51324.731461970056","52188.89749352501","52800.042700644364","51609.55470726041","53252.88917609379","52975.63662557797","52352.21036169008","53893.45711535612","52265.51877149406","53400.85267800176","54029.307684732885","54714.17806781852","54334.77672965168","52441.788567203395","53913.728815377515","52562.46600739396","54117.09268989164","50028.64972553137","51455.51850328641","52229.40498339831","48364.09575780318","47815.88163220514","48182.77614160207","47158.9634347588"
"Total GHG emissions with LULUCF","50767.16312240617","50767.16312240617","48827.07635062378","49857.24422054249","47956.19529618048","48134.434177630515","48353.89489868415","46338.17372151937","47378.88223680108","50205.61834101527","49461.73051138207","57921.44301343581","52850.95344098169","49481.74481059776","49674.889439306666","50694.9942814987","52223.33243818187","52731.964195733584","51957.874595813744","51593.007554157215","49440.68803135193","51498.02873817125","48608.406665735405","49589.13227450422","50160.60545741055","47704.946470575975","45630.01286272665","46067.455858515495","45561.384331770285"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 22:09:52 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
