"Annual greenhouse gas (GHG) emissions for Turkey, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Turkey — Years: All years — Category: Totals — Gas: Aggregate GHGs — Unit: kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","Last Inventory Year (2017)"
"Total GHG emissions without LULUCF including indirect CO₂","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total GHG emissions with LULUCF including indirect CO₂","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total GHG emissions without LULUCF","219201.6942384342","219201.6942384342","226578.1875594033","232801.91283756497","240148.9788164225","234126.67530392547","247584.90510570895","267232.2565688771","278606.5626276096","280288.3384175321","277758.54827738006","298889.9471582082","280410.86307170667","286072.8338168764","305596.1272218198","314951.02521917986","337212.6803189591","358154.9796494859","391422.84569315513","387593.32683120685","395515.45848262904","398660.53292100166","427571.90458981134","446935.0867435459","438968.821524787","457961.86822758574","472190.8099594399","498468.9389740208","526252.9878066566"
"Total GHG emissions with LULUCF","163437.02747289103","163437.02747289103","169851.36151941674","175944.76340101816","184087.95129019834","176674.20260210047","190185.2103915454","209509.24042655012","216913.21355314922","217661.4833820857","213716.08189546663","237333.88669672742","215694.32502444996","213586.08512142484","231048.26614790995","241256.15887155576","262519.4048091194","283438.634493781","316986.6283791233","318380.230080107","322668.2749216669","325168.72367221187","350457.0885167951","372533.77839347196","362492.74436520063","380452.3930899514","374984.45512924326","402539.0889650071","426345.4971320606"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Andorra,  Antigua and Barbuda, Armenia, Bangladesh, Brunei Darussalam, Cabo Verde,  Côte d'Ivoire, Colombia, Eswatini, Ghana, Indonesia, Iran, Jamaica,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Namibia, Nicaragua, Panama,  Republic of Moldova, Rwanda, Samoa, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Suriname, United Arab Emirates, Venezuela, and Viet Nam)  and biennial update reports (Andorra, Argentina, Armenia, Azerbaijan, Chile,  Colombia, Costa Rica, Côte d'Ivoire, El Salvador, Ghana, India, Indonesia, Jordan,  Malaysia, Mauritania, Mexico,  Mongolia, Montenegro, Namibia, Nigeria, North Macedonia, Panama, Paraguay, Papua New Guinea, Republic of Moldova,  Serbia, Singapore, South Africa, Togo, Tunisia, and Uruguay).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 5: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Friday, 29 November 2019 22:09:55 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
